,Date,Location,Dead,Injured,Total,Description,dt,Suspects Dead,Suspects Injured,Year,Month,Day,loc,loc_name,loc_coords,lat,long,wrapped_descr,City,State
67,"June 26, 2019","Akron, Ohio",1,3,4,"One man was killed and three others, including a boy, were wounded in a home invasion.[79]",2019-06-26,0,0,2019,6,26,"Akron, Summit County, Ohio, USA","Akron, Summit County, Ohio, USA","(41.083064, -81.518485)",41.083064,-81.518485,"One man was killed
and three others,
including a boy,
were wounded in a
home invasion.[79]",Akron, Ohio
68,"June 23, 2019","San Jose, California",5,0,5,A four-hour standoff ends after a man kills four people then himself.[80],2019-06-23,1,0,2019,6,23,"San Jose, Santa Clara County, California, USA","San Jose, Santa Clara County, California, USA","(37.3361905, -121.8905833)",37.3361905,-121.8905833,"A four-hour standoff
ends after a man
kills four people
then himself.[80]",San Jose, California
69,"June 23, 2019","Abbeville, South Carolina",3,1,4,Two people were killed and two were wounded in a shooting at an apartment complex. One of the victims later died at the hospital from their injuries.[81],2019-06-23,0,0,2019,6,23,"Abbeville, Abbeville County, South Carolina, USA","Abbeville, Abbeville County, South Carolina, USA","(34.1779495, -82.3792463)",34.1779495,-82.3792463,"Two people were
killed and two were
wounded in a
shooting at an
apartment complex.
One of the victims
later died at the
hospital from their
injuries.[81]",Abbeville, South Carolina
70,"June 23, 2019","Columbus, Ohio",0,5,5,Five people were wounded in a drive-by shooting outside of a local motorcycle club.[82],2019-06-23,0,0,2019,6,23,"Columbus, Franklin County, Ohio, USA","Columbus, Franklin County, Ohio, USA","(39.9622601, -83.0007065)",39.9622601,-83.0007065,"Five people were
wounded in a drive-
by shooting outside
of a local
motorcycle club.[82]",Columbus, Ohio
71,"June 23, 2019","La Jolla, California",1,3,4,One person was killed and three others were injured after a drive-by shooting at a party.[83],2019-06-23,0,0,2019,6,23,"La Jolla, San Diego County, California, 92037, USA","La Jolla, San Diego County, California, 92037, USA","(32.83259, -117.2716839)",32.83259,-117.2716839,"One person was
killed and three
others were injured
after a drive-by
shooting at a
party.[83]",La Jolla, California
72,"June 23, 2019","South Bend, Indiana",1,10,11,One person was killed and ten were injured after the perpetrator opened fire on a patrons at a local bar.[84],2019-06-23,0,0,2019,6,23,"South Bend, Saint Joseph County, Indiana, USA","South Bend, Saint Joseph County, Indiana, USA","(41.6833813, -86.2500066)",41.6833813,-86.2500066,"One person was
killed and ten were
injured after the
perpetrator opened
fire on a patrons at
a local bar.[84]",South Bend, Indiana
73,"June 22, 2019","Philadelphia, Pennsylvania",0,4,4,Four men were wounded by gunfire in an overnight shooting.[85],2019-06-22,0,0,2019,6,22,"Philadelphia, Philadelphia County, Pennsylvania, USA","Philadelphia, Philadelphia County, Pennsylvania, USA","(39.9527237, -75.1635262)",39.9527237,-75.1635262,"Four men were
wounded by gunfire
in an overnight
shooting.[85]",Philadelphia, Pennsylvania
74,"June 22, 2019","Hampton, Virginia",0,4,4,Two adults and two children were injured in a shooting at Buckroe Beach.[86],2019-06-22,0,0,2019,6,22,"Hampton, Hampton City, Virginia, 23669-4019, USA","Hampton, Hampton City, Virginia, 23669-4019, USA","(37.0300969, -76.3452057)",37.0300969,-76.3452057,"Two adults and two
children were
injured in a
shooting at Buckroe
Beach.[86]",Hampton, Virginia
75,"June 22, 2019","Baltimore, Maryland",1,4,5,"A gunman opened fire on a crowd, killing a 19-year-old man and wounding four others.[87]",2019-06-22,0,0,2019,6,22,"Baltimore, Maryland, 21203, USA","Baltimore, Maryland, 21203, USA","(39.2908816, -76.610759)",39.2908816,-76.610759,"A gunman opened fire
on a crowd, killing
a 19-year-old man
and wounding four
others.[87]",Baltimore, Maryland
76,"June 21, 2019","Saginaw, Michigan",1,3,4,"Four people were shot, one fatally, at a house on the city's west side.[88]",2019-06-21,0,0,2019,6,21,"Saginaw, Saginaw County, Michigan, 48607, USA","Saginaw, Saginaw County, Michigan, 48607, USA","(43.4200387, -83.9490365)",43.4200387,-83.9490365,"Four people were
shot, one fatally,
at a house on the
city's west
side.[88]",Saginaw, Michigan
77,"June 21, 2019","Richmond, California",0,5,5,Five people were wounded in a drive-by shooting.[89],2019-06-21,0,0,2019,6,21,"Richmond, Contra Costa County, California, USA","Richmond, Contra Costa County, California, USA","(37.9357576, -122.3477486)",37.9357576,-122.3477486,"Five people were
wounded in a drive-
by shooting.[89]",Richmond, California
78,"June 21, 2019","Chicago, Illinois",0,4,4,"Four people, including a pregnant woman, were wounded in a shooting outside of the Parkway Garden Homes apartment complex.[90]",2019-06-21,0,2,2019,6,21,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"Four people,
including a pregnant
woman, were wounded
in a shooting
outside of the
Parkway Garden Homes
apartment
complex.[90]",Chicago, Illinois
79,"June 20, 2019","Allentown, Pennsylvania",0,10,10,Ten people were injured from gunfire outside of a nightclub.[91],2019-06-20,0,0,2019,6,20,"Allentown, Lehigh County, Pennsylvania, USA","Allentown, Lehigh County, Pennsylvania, USA","(40.6022059, -75.4712794)",40.6022059,-75.4712794,"Ten people were
injured from gunfire
outside of a
nightclub.[91]",Allentown, Pennsylvania
80,"June 18, 2019","Newark, New Jersey",1,6,7,One man was killed and six others were injured after gunfire broke out in two separate locations in the downtown area.[92],2019-06-18,0,0,2019,6,18,"Newark, Essex County, New Jersey, USA","Newark, Essex County, New Jersey, USA","(40.735657, -74.1723667)",40.735657,-74.1723667,"One man was killed
and six others were
injured after
gunfire broke out in
two separate
locations in the
downtown area.[92]",Newark, New Jersey
81,"June 17, 2019","San Antonio, Texas",0,4,4,"Four people were injured from gunfire, after getting into an altercation with another motorist.[93]",2019-06-17,0,0,2019,6,17,"San Antonio, Bexar County, Texas, USA","San Antonio, Bexar County, Texas, USA","(29.4246002, -98.4951405)",29.4246002,-98.4951405,"Four people were
injured from
gunfire, after
getting into an
altercation with
another
motorist.[93]",San Antonio, Texas
82,"June 17, 2019","Memphis, Tennessee",0,5,5,Five people were wounded in the parking lot of an apartment complex.[94],2019-06-17,0,0,2019,6,17,"Memphis, Shelby County, Tennessee, USA","Memphis, Shelby County, Tennessee, USA","(35.1490215, -90.0516285)",35.1490215,-90.0516285,"Five people were
wounded in the
parking lot of an
apartment
complex.[94]",Memphis, Tennessee
83,"June 16, 2019","Philadelphia, Pennsylvania",1,7,8,One person was killed and seven were injured at a graduation party. All of the victims are between 15 and 17 years of age.[95],2019-06-16,0,0,2019,6,16,"Philadelphia, Philadelphia County, Pennsylvania, USA","Philadelphia, Philadelphia County, Pennsylvania, USA","(39.9527237, -75.1635262)",39.9527237,-75.1635262,"One person was
killed and seven
were injured at a
graduation party.
All of the victims
are between 15 and
17 years of age.[95]",Philadelphia, Pennsylvania
84,"June 16, 2019","Louisville, Kentucky",1,6,7,Five men and two women were discovered shot near a liquor store by police. One of the men later died at the hospital.[96],2019-06-16,0,0,2019,6,16,"Louisville, Jefferson County, Kentucky, USA","Louisville, Jefferson County, Kentucky, USA","(38.2542376, -85.759407)",38.2542376,-85.759407,"Five men and two
women were
discovered shot near
a liquor store by
police. One of the
men later died at
the hospital.[96]",Louisville, Kentucky
85,"June 16, 2019","Des Moines, Iowa",0,6,6,Six people were shot in a drive-by shooting while standing in the street after a party.[97],2019-06-16,0,0,2019,6,16,"Des Moines, Polk County, Iowa, USA","Des Moines, Polk County, Iowa, USA","(41.5910641, -93.6037149)",41.5910641,-93.6037149,"Six people were shot
in a drive-by
shooting while
standing in the
street after a
party.[97]",Des Moines, Iowa
86,"June 15, 2019","Shreveport, Louisiana",0,4,4,Four people were wounded in a drive-by shooting outside of a nightclub.[98],2019-06-15,0,0,2019,6,15,"Shreveport, Caddo Parish, Louisiana, USA","Shreveport, Caddo Parish, Louisiana, USA","(32.5221828, -93.7651944)",32.5221828,-93.7651944,"Four people were
wounded in a drive-
by shooting outside
of a nightclub.[98]",Shreveport, Louisiana
87,"June 15, 2019","West Des Moines, Iowa",4,0,4,"Four relatives, two children and two adults, were found dead from gunshot wounds in a house.[99]",2019-06-15,0,0,2019,6,15,"West Des Moines, Polk County, Iowa, USA","West Des Moines, Polk County, Iowa, USA","(41.5645337, -93.7595281)",41.5645337,-93.7595281,"Four relatives, two
children and two
adults, were found
dead from gunshot
wounds in a
house.[99]",West Des Moines, Iowa
88,"June 12, 2019","Charlotte, North Carolina",1,3,4,An adult male was killed at a party in a rented Airbnb; a teenager and two other adults were injured.[100],2019-06-12,0,0,2019,6,12,"Charlotte, Mecklenburg County, North Carolina, USA","Charlotte, Mecklenburg County, North Carolina, USA","(35.2270869, -80.8431268)",35.2270869,-80.8431268,"An adult male was
killed at a party in
a rented Airbnb; a
teenager and two
other adults were
injured.[100]",Charlotte, North Carolina
89,"June 11, 2019","Savannah, Georgia",2,2,4,Police responded to a scene and discovered two men deceased and two others injured.[101],2019-06-11,0,0,2019,6,11,"Savannah, Chatham County, Georgia, USA","Savannah, Chatham County, Georgia, USA","(32.0809263, -81.0911768)",32.0809263,-81.0911768,"Police responded to
a scene and
discovered two men
deceased and two
others injured.[101]",Savannah, Georgia
90,"June 11, 2019","Aurora, Colorado",0,4,4,Four people were wounded in an overnight shooting; the victims were self-transported to the hospital for treatment.[102],2019-06-11,0,0,2019,6,11,"Aurora, Arapahoe County, Colorado, USA","Aurora, Arapahoe County, Colorado, USA","(39.729432, -104.8319196)",39.729432,-104.8319196,"Four people were
wounded in an
overnight shooting;
the victims were
self-transported to
the hospital for
treatment.[102]",Aurora, Colorado
91,"June 9, 2019","Henning, Tennessee",1,3,4,One was killed and three others were injured in a shooting at a nightclub.[103],2019-06-09,0,0,2019,6,9,"Henning, Lauderdale County, Tennessee, USA","Henning, Lauderdale County, Tennessee, USA","(35.6728565, -89.5734096)",35.6728565,-89.5734096,"One was killed and
three others were
injured in a
shooting at a
nightclub.[103]",Henning, Tennessee
92,"June 9, 2019","Buffalo, New York",0,4,4,Four people were injured in a shooting after a dispute.[104],2019-06-09,0,0,2019,6,9,"Buffalo, Erie County, New York, USA","Buffalo, Erie County, New York, USA","(42.8867166, -78.8783922)",42.8867166,-78.8783922,"Four people were
injured in a
shooting after a
dispute.[104]",Buffalo, New York
93,"June 9, 2019","Cleveland, Ohio",1,3,4,"One person was killed and three wounded, after the perpetrator opened fire on a crowd gathered in Kerruish Park.[105]",2019-06-09,0,0,2019,6,9,"Cleveland, Cuyahoga County, Ohio, USA","Cleveland, Cuyahoga County, Ohio, USA","(41.5051613, -81.6934446)",41.5051613,-81.6934446,"One person was
killed and three
wounded, after the
perpetrator opened
fire on a crowd
gathered in Kerruish
Park.[105]",Cleveland, Ohio
94,"June 8, 2019","White Swan, Washington",5,0,5,Five people were killed after the perpetrator opened fire on the Yakama Indian Reservation.[106][107],2019-06-08,0,0,2019,6,8,"White Swan, Yakima County, Washington, USA","White Swan, Yakima County, Washington, USA","(46.3829037, -120.7311801)",46.3829037,-120.7311801,"Five people were
killed after the
perpetrator opened
fire on the Yakama
Indian Reservation.[
106][107]",White Swan, Washington
95,"June 8, 2019","Chicago, Illinois",0,4,4,Four people were wounded in the Humbdolt neighborhood after an altercation with the suspect.[108],2019-06-08,0,0,2019,6,8,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"Four people were
wounded in the
Humbdolt
neighborhood after
an altercation with
the suspect.[108]",Chicago, Illinois
96,"June 7, 2019","Austin, Texas",0,5,5,"Five people were taken to the hospital after the suspect fired shots at the ground, indirectly wounding them.[109]",2019-06-07,0,0,2019,6,7,"Austin, Travis County, Texas, United States of America","Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995)",30.2711286,-97.7436995,"Five people were
taken to the
hospital after the
suspect fired shots
at the ground,
indirectly wounding
them.[109]",Austin, Texas
97,"June 6, 2019","Chicago, Illinois",1,3,4,One man was killed and three others wounded when a secondary vehicle pulled up next to vehicle and opened fire on Lake Shore Drive.[110],2019-06-06,0,0,2019,6,6,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"One man was killed
and three others
wounded when a
secondary vehicle
pulled up next to
vehicle and opened
fire on Lake Shore
Drive.[110]",Chicago, Illinois
98,"June 5, 2019","Santa Rosa, California",0,4,4,"A teenager opened fire at a soccer park, wounding an 11-year-old boy and three others.[111]",2019-06-05,0,0,2019,6,5,"Santa Rosa, Sonoma County, California, USA","Santa Rosa, Sonoma County, California, USA","(38.4404675, -122.7144314)",38.4404675,-122.7144314,"A teenager opened
fire at a soccer
park, wounding an
11-year-old boy and
three others.[111]",Santa Rosa, California
99,"June 1, 2019","Portsmouth, Virginia",1,3,4,One person was killed and three were critically injured in an overnight shooting.[112],2019-06-01,0,0,2019,6,1,"Portsmouth, Virginia, 23704, USA","Portsmouth, Virginia, 23704, USA","(36.8354258, -76.2982742)",36.8354258,-76.2982742,"One person was
killed and three
were critically
injured in an
overnight
shooting.[112]",Portsmouth, Virginia
100,"June 1, 2019","Chicago, Illinois",0,4,4,An adult male and three teenagers were wounded in a shooting in the Austin community of Chicago.[113],2019-06-01,0,0,2019,6,1,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"An adult male and
three teenagers were
wounded in a
shooting in the
Austin community of
Chicago.[113]",Chicago, Illinois
101,"June 1, 2019","Chicago, Illinois",0,4,4,Four men were wounded in two separate locations near Northwestern University's Gold Coast campus.[114],2019-06-01,0,0,2019,6,1,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"Four men were
wounded in two
separate locations
near Northwestern
University's Gold
Coast campus.[114]",Chicago, Illinois
102,"June 1, 2019","Atlanta, Georgia",0,5,5,Police discovered three individuals wounded after responding to a shooting; an additional two were transported via personal vehicles to the hospital.[115],2019-06-01,0,0,2019,6,1,"Atlanta, Fulton County, Georgia, USA","Atlanta, Fulton County, Georgia, USA","(33.7490987, -84.3901849)",33.7490987,-84.3901849,"Police discovered
three individuals
wounded after
responding to a
shooting; an
additional two were
transported via
personal vehicles to
the hospital.[115]",Atlanta, Georgia
103,"June 1, 2019","Macon, Georgia",0,4,4,Three men and a woman were injured after a suspect opened fire at a block party.[116],2019-06-01,0,0,2019,6,1,"Macon, Bibb County, Georgia, USA","Macon, Bibb County, Georgia, USA","(32.8406946, -83.6324022)",32.8406946,-83.6324022,"Three men and a
woman were injured
after a suspect
opened fire at a
block party.[116]",Macon, Georgia
104,"June 1, 2019","Allendale, South Carolina",0,5,5,Five men were wounded in a shooting at a car wash.[117],2019-06-01,0,0,2019,6,1,"Allendale County, South Carolina, USA","Allendale County, South Carolina, USA","(32.9635006, -81.3400056)",32.9635006,-81.3400056,"Five men were
wounded in a
shooting at a car
wash.[117]",Allendale, South Carolina
105,"May 31, 2019","Virginia Beach, Virginia",13,4,17,Virginia Beach shooting: A gunman killed 12 people and injured four others at a city public works building. The gunman died at the scene after being shot by police.[118][119],2019-05-31,1,0,2019,5,31,"Virginia Beach, Virginia, 23451, USA","Virginia Beach, Virginia, 23451, USA","(36.8529841, -75.9774183)",36.8529841,-75.9774183,"Virginia Beach
shooting: A gunman
killed 12 people and
injured four others
at a city public
works building. The
gunman died at the
scene after being
shot by
police.[118][119]",Virginia Beach, Virginia
106,"May 30, 2019","Robbins, Illinois",0,5,5,Five people were wounded after a vehicle pulled up to a large gathering and opened fire.[120],2019-05-30,0,0,2019,5,30,"Robbins, Cook County, Illinois, 60472, USA","Robbins, Cook County, Illinois, 60472, USA","(41.6439227, -87.7036602)",41.6439227,-87.7036602,"Five people were
wounded after a
vehicle pulled up to
a large gathering
and opened
fire.[120]",Robbins, Illinois
107,"May 29, 2019","Cleveland, Texas",2,3,5,"A man shot three employees at a local plumbing company, killing one before exchanging gunfire with a sheriff's deputy, also injuring him before committing suicide.[121]",2019-05-29,1,0,2019,5,29,"Cleveland, Liberty County, Texas, 77327, USA","Cleveland, Liberty County, Texas, 77327, USA","(30.3417711, -95.0854786)",30.3417711,-95.0854786,"A man shot three
employees at a local
plumbing company,
killing one before
exchanging gunfire
with a sheriff's
deputy, also
injuring him before
committing
suicide.[121]",Cleveland, Texas
108,"May 27, 2019","Trenton, New Jersey",1,5,6,"Police responded to a shooting on Walnut Avenue, and found one teenager deceased and five adults injured.[122]",2019-05-27,0,0,2019,5,27,"Trenton, Mercer County, New Jersey, USA","Trenton, Mercer County, New Jersey, USA","(40.2170575, -74.7429463)",40.2170575,-74.7429463,"Police responded to
a shooting on Walnut
Avenue, and found
one teenager
deceased and five
adults injured.[122]",Trenton, New Jersey
109,"May 27, 2019",Washington D.C.,0,5,5,A boy and four others were wounded in a shooting in the Barry Farm neighborhood.[123],2019-05-27,0,0,2019,5,27,"Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,"A boy and four
others were wounded
in a shooting in the
Barry Farm
neighborhood.[123]",Washington D.C.,Washington D.C.
110,"May 26, 2019","Stockton, California",1,3,4,Police discovered one person deceased and three injured after responding to reports of a shooting.[124],2019-05-26,0,0,2019,5,26,"Stockton, San Joaquin County, California, USA","Stockton, San Joaquin County, California, USA","(37.9577016, -121.2907796)",37.9577016,-121.2907796,"Police discovered
one person deceased
and three injured
after responding to
reports of a
shooting.[124]",Stockton, California
111,"May 26, 2019","La Crosse, Virginia",0,5,5,"Multiple shooters reportedly opened fire at a block party, injuring five people.[125]",2019-05-26,0,0,2019,5,26,"La Crosse, Mecklenburg County, Virginia, USA","La Crosse, Mecklenburg County, Virginia, USA","(36.7001439, -78.0997185)",36.7001439,-78.0997185,"Multiple shooters
reportedly opened
fire at a block
party, injuring five
people.[125]",La Crosse, Virginia
112,"May 26, 2019",Washington D.C.,1,3,4,One teenager was killed and two women and a child were injured after being shot in a parking lot.[126],2019-05-26,0,0,2019,5,26,"Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,"One teenager was
killed and two women
and a child were
injured after being
shot in a parking
lot.[126]",Washington D.C.,Washington D.C.
113,"May 26, 2019","Chicago, Illinois",2,3,5,"Several people were gathered outside of a party when a man opened fire, killing two and wounding three.[127]",2019-05-26,0,0,2019,5,26,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"Several people were
gathered outside of
a party when a man
opened fire, killing
two and wounding
three.[127]",Chicago, Illinois
114,"May 25, 2019","Oklahoma City, Oklahoma",0,5,5,"Five people were wounded in a parking lot, after an SUV pulled up and its occupants began shooting.[128]",2019-05-25,0,0,2019,5,25,"Oklahoma City, Oklahoma County, Oklahoma, USA","Oklahoma City, Oklahoma County, Oklahoma, USA","(35.4729886, -97.5170536)",35.4729886,-97.5170536,"Five people were
wounded in a parking
lot, after an SUV
pulled up and its
occupants began
shooting.[128]",Oklahoma City, Oklahoma
115,"May 25, 2019","Baltimore, Maryland",0,4,4,"Four people, including a teenager were found shot in McElderry Park.[129]",2019-05-25,0,0,2019,5,25,"Baltimore, Maryland, 21203, USA","Baltimore, Maryland, 21203, USA","(39.2908816, -76.610759)",39.2908816,-76.610759,"Four people,
including a teenager
were found shot in
McElderry Park.[129]",Baltimore, Maryland
116,"May 25, 2019","Chesapeake, Virginia",1,9,10,"Police responded to a noise complaint at a large party, and discovered ten people with gunshot wounds. One later died from their injuries.[130]",2019-05-25,0,0,2019,5,25,"Chesapeake, Suffolk (city), Virginia, United States of America","Chesapeake, Suffolk (city), Virginia, United States of America","(36.7183708, -76.2466798)",36.7183708,-76.2466798,"Police responded to
a noise complaint at
a large party, and
discovered ten
people with gunshot
wounds. One later
died from their
injuries.[130]",Chesapeake, Virginia
117,"May 25, 2019","Trenton, New Jersey",0,10,10,Ten people were wounded in a shooting at a bar.[131],2019-05-25,0,0,2019,5,25,"Trenton, Mercer County, New Jersey, USA","Trenton, Mercer County, New Jersey, USA","(40.2170575, -74.7429463)",40.2170575,-74.7429463,"Ten people were
wounded in a
shooting at a
bar.[131]",Trenton, New Jersey
118,"May 20, 2019","Alexandria, Louisiana",1,4,5,One teenager was killed and five were injured in a shooting.[132],2019-05-20,0,0,2019,5,20,"Alexandria, Rapides Parish, Louisiana, USA","Alexandria, Rapides Parish, Louisiana, USA","(31.311248, -92.4449087)",31.311248,-92.4449087,"One teenager was
killed and five were
injured in a
shooting.[132]",Alexandria, Louisiana
119,"May 20, 2019","Columbus, Ohio",0,4,4,Four people were injured in a shooting in the Hilltop neighborhood.[133],2019-05-20,0,0,2019,5,20,"Columbus, Franklin County, Ohio, USA","Columbus, Franklin County, Ohio, USA","(39.9622601, -83.0007065)",39.9622601,-83.0007065,"Four people were
injured in a
shooting in the
Hilltop
neighborhood.[133]",Columbus, Ohio
120,"May 20, 2019","Tulsa, Oklahoma",2,2,4,"A man opened fire on a group of people, killing two and wounding two others at an apartment complex.[134]",2019-05-20,0,0,2019,5,20,"Tulsa, Tulsa County, Oklahoma, USA","Tulsa, Tulsa County, Oklahoma, USA","(36.1556805, -95.9929113)",36.1556805,-95.9929113,"A man opened fire on
a group of people,
killing two and
wounding two others
at an apartment
complex.[134]",Tulsa, Oklahoma
121,"May 19, 2019","Portland, Oregon",0,5,5,Five people were wounded after gunfire erupted at a warehouse party.[135],2019-05-19,0,0,2019,5,19,"Portland, Multnomah County, Oregon, USA","Portland, Multnomah County, Oregon, USA","(45.5202471, -122.6741949)",45.5202471,-122.6741949,"Five people were
wounded after
gunfire erupted at a
warehouse
party.[135]",Portland, Oregon
122,"May 18, 2019","Cascilla, Mississippi",1,5,6,One person was killed and five were injured in a shooting during a family dispute.[136],2019-05-18,0,0,2019,5,18,"Cascilla, Tallahatchie County, Mississippi, USA","Cascilla, Tallahatchie County, Mississippi, USA","(33.8567814, -90.0042546)",33.8567814,-90.0042546,"One person was
killed and five were
injured in a
shooting during a
family dispute.[136]",Cascilla, Mississippi
123,"May 18, 2019","Cedar Rapids, Iowa",2,2,4,Two people were killed and two were wounded after an assailant shot into a vehicle outside of a tobacco store.[137],2019-05-18,0,0,2019,5,18,"Cedar Rapids, Iowa, USA","Cedar Rapids, Iowa, USA","(41.9758872, -91.6704053)",41.9758872,-91.6704053,"Two people were
killed and two were
wounded after an
assailant shot into
a vehicle outside of
a tobacco
store.[137]",Cedar Rapids, Iowa
124,"May 18, 2019","Atmore, Alabama",1,8,9,One person was killed and eight were wounded at a high school graduation party when a gunman opened fire during a fight.[138],2019-05-18,0,0,2019,5,18,"Atmore, Escambia County, Alabama, USA","Atmore, Escambia County, Alabama, USA","(31.0237921, -87.4938708)",31.0237921,-87.4938708,"One person was
killed and eight
were wounded at a
high school
graduation party
when a gunman opened
fire during a
fight.[138]",Atmore, Alabama
125,"May 18, 2019","Long Beach, California",1,5,6,A 57-year-old woman was killed and five others were wounded during a vigil at a local bar.[139],2019-05-18,0,0,2019,5,18,"Long Beach, Los Angeles County, California, USA","Long Beach, Los Angeles County, California, USA","(33.7690164, -118.1916048)",33.7690164,-118.1916048,"A 57-year-old woman
was killed and five
others were wounded
during a vigil at a
local bar.[139]",Long Beach, California
126,"May 18, 2019","Winston-Salem, North Carolina",1,5,6,One man was killed and five were wounded at an overnight block party.[140],2019-05-18,0,0,2019,5,18,"Winston-Salem, Forsyth County, North Carolina, USA","Winston-Salem, Forsyth County, North Carolina, USA","(36.0998131, -80.2440518)",36.0998131,-80.2440518,"One man was killed
and five were
wounded at an
overnight block
party.[140]",Winston-Salem, North Carolina
127,"May 18, 2019","Muncie, Indiana",0,7,7,Seven people were wounded at a house party near the campus of Ball State University.[141],2019-05-18,0,0,2019,5,18,"Muncie, Delaware County, Indiana, USA","Muncie, Delaware County, Indiana, USA","(40.1936892, -85.3865271)",40.1936892,-85.3865271,"Seven people were
wounded at a house
party near the
campus of Ball State
University.[141]",Muncie, Indiana
128,"May 17, 2019","Sacramento, California",1,4,5,"A woman and three others, including a 4-year-old boy were wounded in what police presume was a targeted shooting. One of the victims later died from their injuries.[142]",2019-05-17,0,0,2019,5,17,"Sacramento, Sacramento County, California, USA","Sacramento, Sacramento County, California, USA","(38.5815719, -121.4943996)",38.5815719,-121.4943996,"A woman and three
others, including a
4-year-old boy were
wounded in what
police presume was a
targeted shooting.
One of the victims
later died from
their injuries.[142]",Sacramento, California
129,"May 16, 2019","Cleveland, Ohio",0,4,4,"Four people, including two teenagers were wounded in a shooting.[143]",2019-05-16,0,0,2019,5,16,"Cleveland, Cuyahoga County, Ohio, USA","Cleveland, Cuyahoga County, Ohio, USA","(41.5051613, -81.6934446)",41.5051613,-81.6934446,"Four people,
including two
teenagers were
wounded in a
shooting.[143]",Cleveland, Ohio
130,"May 15, 2019","St. Rose, Louisiana",0,4,4,"Four people, including two children were wounded during an altercation between two men in a strip mall parking lot.[144]",2019-05-15,0,1,2019,5,15,"St. Rose, St. Charles Parish, Louisiana, 70087, USA","St. Rose, St. Charles Parish, Louisiana, 70087, USA","(29.9468716, -90.3231349)",29.9468716,-90.3231349,"Four people,
including two
children were
wounded during an
altercation between
two men in a strip
mall parking
lot.[144]",St. Rose, Louisiana
131,"May 13, 2019","St. Louis, Missouri",4,1,5,"Three people were killed and two were critically injured in a shooting at a home. One victim died of their injuries days later, taking the death toll to four.[145]",2019-05-13,0,0,2019,5,13,"Saint Louis, City of Saint Louis, Missouri, USA","Saint Louis, City of Saint Louis, Missouri, USA","(38.6268039, -90.1994097)",38.6268039,-90.1994097,"Three people were
killed and two were
critically injured
in a shooting at a
home. One victim
died of their
injuries days later,
taking the death
toll to four.[145]",St. Louis, Missouri
132,"May 13, 2019","New Orleans, Louisiana",0,4,4,Three men and a teenager were wounded in a drive-by shooting in the Central City neighborhood.[146],2019-05-13,0,0,2019,5,13,"New Orleans, Orleans Parish, Louisiana, USA","New Orleans, Orleans Parish, Louisiana, USA","(29.9499323, -90.0701156)",29.9499323,-90.0701156,"Three men and a
teenager were
wounded in a drive-
by shooting in the
Central City
neighborhood.[146]",New Orleans, Louisiana
133,"May 11, 2019","Paulsboro, New Jersey",0,4,4,"A person began shooting at an event that was originally reported to be a rap concert and subsequently described as a birthday party. Four people were injured by the gunfire, and a fifth person suffered a head injury after falling.[147]",2019-05-11,0,0,2019,5,11,"Paulsboro, Gloucester County, New Jersey, USA","Paulsboro, Gloucester County, New Jersey, USA","(39.830391, -75.2404608)",39.830391,-75.2404608,"A person began
shooting at an event
that was originally
reported to be a rap
concert and
subsequently
described as a
birthday party. Four
people were injured
by the gunfire, and
a fifth person
suffered a head
injury after
falling.[147]",Paulsboro, New Jersey
134,"May 11, 2019","Chestnuthill Township, Pennsylvania",0,4,4,Four people were wounded in a shooting inside of a residence. The perpetrator was later arrested.[148],2019-05-11,0,0,2019,5,11,"Chestnuthill Township, Monroe County, Pennsylvania, USA","Chestnuthill Township, Monroe County, Pennsylvania, USA","(40.95714215, -75.4198806434521)",40.95714215,-75.4198806434521,"Four people were
wounded in a
shooting inside of a
residence. The
perpetrator was
later arrested.[148]",Chestnuthill Township, Pennsylvania
135,"May 10, 2019","St. Louis, Missouri",0,6,6,"A shooting was reported near Farragut Elementary School, where two men were discovered wounded, and an additional four were identified at the hospital.[149]",2019-05-10,0,0,2019,5,10,"Saint Louis, City of Saint Louis, Missouri, USA","Saint Louis, City of Saint Louis, Missouri, USA","(38.6268039, -90.1994097)",38.6268039,-90.1994097,"A shooting was
reported near
Farragut Elementary
School, where two
men were discovered
wounded, and an
additional four were
identified at the
hospital.[149]",St. Louis, Missouri
